,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,10504.5,309.5,0.8291363636363636,0.4451820236003013,0.2772244427078969,0.6998567880920823,0.7310789049919484,0.16684370481838837,0.9222174840085288,0.4279346210995542,0.16684370481838837,0.25,0.5405405405405406,60.0,17.0,37.0,673.0,22777.0,21626.0,288.0,5.677749360613811,12.27621483375959
11,9937.0,548.5,0.8090236001850994,0.6727210397751389,0.4583778033388646,0.7037355067487054,0.8359303912647862,0.2800224480494924,0.9011441848231116,0.6451335055986219,0.2800224480494924,0.44660194174757284,0.6571428571428571,57.0,24.0,70.0,1161.0,21650.0,20556.0,749.0,11.042460891284344,16.248192454318392
12,10026.0,96.5,0.9426435118186204,0.2391304347826087,0.048316251830161056,0.8119109593402745,0.29545454545454547,0.033854166666666664,0.98161315157828,0.06735751295336788,0.033854166666666664,0.06666666666666665,0.11111111111111116,14.0,8.0,9.0,193.0,21888.0,21675.0,13.0,1.4666606310262098,2.444434385043683
13,10792.5,772.0,0.851063829787234,0.7587640023304834,0.6218547422063101,0.6877209719961839,0.9049444397545663,0.3704999704339955,0.8949181050018021,0.7935034802784223,0.3704999704339955,0.5827814569536424,0.8301886792452831,63.0,18.0,106.0,1724.0,23247.0,22347.0,1368.0,15.275609463192025,21.760538008886755
14,7682.5,262.0,0.8344151867728108,0.5914626855937914,0.3603375774618549,0.6702195273853961,0.7249731156515788,0.19317379032939547,0.9107213355140714,0.5,0.19317379032939547,0.35,0.5833333333333333,39.0,15.0,36.0,588.0,17143.0,16148.0,294.0,7.3051124513838,12.175187418973
15,11347.5,588.0,0.7758452138492872,0.6240148450691605,0.4251401379388213,0.5777718397690758,0.8354184382852174,0.17192083842444206,0.8317575191626785,0.6329617834394905,0.17192083842444206,0.32369942196531787,0.7088607594936709,117.0,23.0,79.0,1256.0,24445.0,21377.0,795.0,11.061413402823694,24.22309517327214
16,8817.5,214.0,0.8948885263730288,0.5100956055251263,0.46025288721791424,0.6303042240798716,0.5500610500610501,0.15182134742240755,0.9367553164747876,0.3453389830508475,0.15182134742240755,0.3125,0.5172413793103448,33.0,14.0,29.0,472.0,19419.0,18633.0,163.0,5.245967539319632,8.682980754735944
17,7904.5,1226.0,0.816931506849315,0.7841198949402818,0.7475895431282702,0.6802924494422576,0.8476373205231151,0.4419806181819912,0.8365255459927367,0.73589001447178,0.4419806181819912,0.6129032258064516,0.7964071856287425,84.0,34.0,167.0,2764.0,17337.0,16815.0,2034.0,29.89408781263985,38.84441350504699
18,9133.0,1069.5,0.7635401635401635,0.7668427933259503,0.6037572814320358,0.6988276831216691,0.8002899360278763,0.3744914615405713,0.844926037498314,0.7015818725951262,0.3744914615405713,0.5297297297297296,0.7596899224806202,87.0,31.0,129.0,2339.0,19902.0,18792.0,1641.0,20.870972091141972,29.93123904543616
19,1602.0,1293.0,0.8442906574394464,0.8253311717368332,0.9888418414896247,0.7381081689804023,0.8283215220281864,0.7170998345470778,0.7439056356487549,0.7069672131147541,0.7170998345470778,0.9084507042253521,0.7633136094674556,13.0,40.0,169.0,3416.0,4214.0,5676.0,2415.0,79.63350785340315,66.9109947643979
20,9919.0,709.5,0.8529411764705882,0.6987450498700144,0.6192562341141592,0.7470277490938577,0.7829645989777245,0.42402101856052654,0.9161648108834106,0.6510721247563352,0.42402101856052654,0.5247524752475248,0.7066666666666667,48.0,22.0,75.0,1539.0,21542.0,21146.0,1002.0,11.692867350915941,15.746394699233468
